4.617113;12;12;7.119246;12;12;5.512338;5.930836;12;12;12;6.028341;4.630075;12;12;6.986398;12;12;0.3226357;4.808797;-0.007866621;0;-0.08202696:
4.615911;5.572325;12;7.368526;7.821508;12;5.786765;5.619649;12;12;12;5.90144;4.596294;12;12;6.959293;12;12;0.3322023;4.795137;-0.007946119;0;-0.08377409:
4.655608;5.099384;12;7.884752;7.284105;12;6.282938;5.455071;12;12;12;5.782084;4.561066;12;12;6.931267;12;12;0.3415278;4.780832;-0.008021876;0;-0.08389378:
4.734238;4.827324;12;12;7.010677;12;12;5.38327;12;12;12;5.671831;4.525733;12;12;6.903403;12;12;0.3502472;4.766422;-0.008066341;0;-0.08494735:
4.860596;4.639883;12;12;6.860796;12;12;5.377154;12;12;12;5.564178;4.488787;12;12;6.874533;12;12;0.3587645;4.751288;-0.007859781;0;-0.08275366:
5.344475;4.412463;12;12;6.812932;12;12;5.541225;6.331453;12;12;5.357259;4.41143;12;12;6.815008;12;12;0.3747985;4.719368;-0.01613918;0;-0.1691523:
5.938811;4.348106;12;12;6.890856;12;12;5.708984;5.958607;12;12;5.261244;4.372868;12;12;6.785809;12;12;0.381957;4.703338;-0.008083045;0;-0.08477998:
12;4.302544;12;12;7.04526;7.619996;12;5.963286;5.744593;12;12;5.164316;4.332317;12;12;6.755468;12;12;0.3889724;4.686391;-0.007744223;0;-0.08154631:
12;4.273351;5.279182;12;7.301544;7.159113;12;6.356055;5.620113;12;11.97457;5.068699;4.290776;12;12;6.724773;12;12;0.3956453;4.668936;-0.007988691;0;-0.08385301:
12;4.257135;4.909666;12;7.758671;6.879726;12;7.267639;5.554378;12;11.94691;4.973486;4.247952;12;12;6.693557;12;12;0.4020257;4.650836;-0.007989585;0;-0.08405852:
12;4.253672;4.481315;12;12;6.575772;12;12;5.548255;12;11.89333;4.789031;4.161026;12;12;6.63158;12;12;0.4135568;4.613756;-0.01642051;0;-0.1675022:
12;4.262347;4.331677;12;12;6.495358;12;12;5.595082;12;11.86664;4.696385;4.115481;12;12;6.59988;12;12;0.418932;4.594138;-0.00846228;0;-0.08449554:
11.93668;4.274605;4.212617;12;12;6.450726;12;12;5.66821;12;11.84142;4.607985;4.070895;12;12;6.569395;12;12;0.4237675;4.5748;-0.008065283;0;-0.08525038:
11.83451;4.289979;4.108432;12;12;6.432222;12;12;5.771111;12;11.81627;4.518417;4.024654;12;12;6.538313;12;12;0.4284081;4.554591;-0.0114705;0;-0.08157706:
11.78107;4.306247;4.017227;12;12;6.437316;12;12;5.903905;12;11.79173;4.42948;3.977677;12;12;6.507397;8.086934;12;0.4327382;4.533909;-0.007815003;0;-0.08376527:
11.77373;4.336097;3.860476;12;12;6.511218;7.269675;12;6.281147;12;11.74484;4.253268;3.88166;12;12;6.446266;7.576676;12;0.4405607;4.491103;-0.01964736;0;-0.1679163:
11.80528;4.346397;3.790612;12;12;6.579747;6.918219;12;6.552485;12;11.7226;4.165993;3.832679;12;12;6.416319;7.39296;12;0.4440717;4.468994;-0.007565826;0;-0.08319902:
11.85353;4.351369;3.72436;12;12;6.671679;6.670415;12;6.934596;12;11.70126;4.079241;3.783092;12;12;6.38693;7.229343;12;0.4473312;4.446416;-0.007677495;0;-0.08390045:
11.91462;4.349286;3.660609;12;12;6.791885;6.479896;12;12;12;11.68092;3.993011;3.732935;12;12;6.358211;7.079562;12;0.4503506;4.423369;-0.007597983;0;-0.08390808:
11.98446;4.337766;3.59854;12;12;6.949498;6.326987;12;12;12;11.66164;3.907298;3.682247;12;12;6.330292;6.940096;12;0.4531242;4.399854;-0.00764811;0;-0.08389807:
12;4.315267;3.537507;12;12;7.167565;6.200398;12;12;12;11.64361;3.822153;3.63113;12;12;6.303242;6.808664;12;0.4556643;4.375873;-0.01284853;0;-0.08326054:
12;4.234044;3.415456;4.634492;12;12;5.99895;12;12;12;11.61128;3.652127;3.526828;12;12;6.252058;6.562551;12;0.460169;4.326087;-0.01993442;0;-0.1671929:
12;4.176296;3.355865;4.456232;12;12;5.919394;12;12;12;11.59769;3.570114;3.475506;12;12;6.229103;6.450024;11.99962;0.4620842;4.301132;-0.01336437;0;-0.08466816:
12;4.10494;3.294425;4.30749;12;12;5.847252;12;12;12;11.5853;3.486644;3.422597;12;12;6.207294;6.339013;11.99197;0.4638621;4.275092;-0.006540507;0;-0.08253288:
