speed,diff_int_v_x,diff_int_v_y,acc_x,acc_y
1.676463,-1.598824,-0.259821,6.622697,1.031136
1.665796,-1.58988,-0.25381,6.506511,0.994843
1.652847,-1.578624,-0.247754,6.367466,0.956668
1.637614,-1.565049,-0.24165,6.205539,0.916688
1.620095,-1.549148,-0.235493,6.020912,0.874876
1.600369,-1.531005,-0.229237,5.821454,0.827976
1.579686,-1.511966,-0.222259,5.616731,0.776377
1.558489,-1.492498,-0.214341,5.407186,0.721767
1.536787,-1.472598,-0.205481,5.192843,0.664442
1.514591,-1.45226,-0.195677,4.973738,0.60473
1.491915,-1.43148,-0.184929,4.749924,0.542993
1.468775,-1.410253,-0.173234,4.521473,0.479627
1.445191,-1.388575,-0.160592,4.288477,0.41507
1.421184,-1.366441,-0.147001,4.051057,0.349799
1.396778,-1.343847,-0.132459,3.809361,0.284339
1.372003,-1.320787,-0.116966,3.563578,0.219263
1.346891,-1.297258,-0.100519,3.313939,0.155197
1.32148,-1.273254,-0.083118,3.060728,0.092819
1.295811,-1.248773,-0.06476,2.804291,0.032868
1.269932,-1.223815,-0.045446,2.545806,-0.022562
1.244173,-1.198656,-0.025635,2.297183,-0.056797
1.220157,-1.174876,-0.008026,2.067698,-0.076335
1.19807,-1.152753,0.006917,1.857049,-0.085939
1.177824,-1.132297,0.019187,1.664585,-0.087158
1.159339,-1.113521,0.028777,1.489691,-0.081441
1.142553,-1.096436,0.035681,1.331824,-0.070131
1.127414,-1.081052,0.039892,1.190538,-0.054448
1.113891,-1.067383,0.041405,1.065522,-0.035481
1.101971,-1.055438,0.040211,0.956626,-0.014169
1.09166,-1.045229,0.036304,0.864161,0.007736
1.083093,-1.036866,0.030024,0.792578,0.018142
1.076923,-1.030925,0.023402,0.745801,0.024254
1.073259,-1.027499,0.016786,0.724039,0.029314
1.072101,-1.026578,0.010181,0.72731,0.033745
1.07345,-1.028156,0.003594,0.755619,0.037976
1.077306,-1.032223,-0.002973,0.808965,0.042438
1.083667,-1.038773,-0.009513,0.887331,0.047547
1.092531,-1.047796,-0.016022,0.990696,0.053701
1.103897,-1.059286,-0.022495,1.119028,0.061266
1.117763,-1.073233,-0.028927,1.272288,0.070572
1.134125,-1.08963,-0.035314,1.450434,0.081907
1.152981,-1.108469,-0.04165,1.653419,0.095513
1.174327,-1.129742,-0.047931,1.87836,0.111081
1.197155,-1.152483,-0.0541,2.082693,0.122313
1.215528,-1.170855,-0.05903,2.233372,0.129468
1.228429,-1.183855,-0.062542,2.329446,0.132592
1.235849,-1.191481,-0.064635,2.370876,0.131056
1.237785,-1.193727,-0.065308,2.357644,0.124506
1.234233,-1.19059,-0.064558,2.289743,0.112844
1.225198,-1.182061,-0.062384,2.167179,0.096217
1.210682,-1.168133,-0.058782,1.989973,0.075031
1.190696,-1.148796,-0.05375,1.758163,0.049977
1.165251,-1.124037,-0.047282,1.471814,0.022082
1.134366,-1.093839,-0.039374,1.131032,-0.007217
1.098066,-1.058182,-0.030017,0.736162,-0.035894
1.056472,-1.017123,-0.019232,0.323935,-0.04901
1.017217,-0.978201,-0.009611,-0.02365,-0.040008
0.985531,-0.946657,-0.002957,-0.295633,-0.024395
0.961362,-0.922491,0.000732,-0.492459,-0.005985
0.944679,-0.905703,0.001454,-0.614423,0.01227
0.935477,-0.896294,-0.00079,-0.661573,0.028615
0.93378,-0.894262,-0.006,-0.633654,0.042735
0.93964,-0.899608,-0.014176,-0.530123,0.055868
0.953132,-0.912332,-0.025318,-0.350223,0.070737
0.974351,-0.932434,-0.039427,-0.093128,0.091331
1.003399,-0.959915,-0.056501,0.241916,0.122541
1.04038,-0.994773,-0.076542,0.655444,0.169722
1.085389,-1.080414,-0.103802,0,0
0.920059,-0.855677,0.132676,-0.493797,0.133992
0.968399,-0.903818,0.130283,-0.026991,0.058401
1.015063,-0.950242,0.127949,0.424556,-0.005559
1.060031,-0.994948,0.125674,0.860262,-0.059899
1.103289,-1.037937,0.123458,1.279696,-0.10621
1.144825,-1.079209,0.121301,1.682533,-0.145769
1.184628,-1.118764,0.119203,2.068528,-0.17961
1.222691,-1.156601,0.117164,2.437487,-0.20858
1.259008,-1.192722,0.115185,2.789262,-0.233375
1.293573,-1.227125,0.113264,3.123735,-0.254577
1.326382,-1.259811,0.111403,3.440811,-0.272672
1.357431,-1.29078,0.109601,3.740413,-0.288071
1.386716,-1.320031,0.107857,4.02248,-0.301122
1.414235,-1.347566,0.106173,4.286962,-0.312122
1.439986,-1.373383,0.104548,4.533816,-0.321324
1.463966,-1.397483,0.102982,4.763008,-0.328948
1.486174,-1.419863,0.101474,4.974509,-0.335181
1.506609,-1.440518,0.100022,5.168295,-0.340187
1.525268,-1.459446,0.098625,5.344346,-0.344106
1.542151,-1.47664,0.097282,5.502644,-0.347062
1.557257,-1.492097,0.095989,5.643175,-0.34916
1.570585,-1.505812,0.094746,5.765927,-0.350492
1.582134,-1.517781,0.093551,5.87089,-0.351138
1.591903,-1.528,0.092403,5.958054,-0.351165
1.599892,-1.536464,0.091299,6.027412,-0.350632
1.606101,-1.543169,0.090238,6.078957,-0.349587
1.610528,-1.54811,0.089218,6.112686,-0.348073
1.613175,-1.551283,0.088237,6.128592,-0.346121
1.614039,-1.552684,0.087295,6.126674,-0.343758
1.613121,-1.552308,0.086389,6.106927,-0.341002
1.610421,-1.550152,0.085517,6.069351,-0.337867
1.605939,-1.546209,0.084678,6.013943,-0.334357
1.599675,-1.540478,0.083871,5.940704,-0.330471
1.591627,-1.532951,0.083092,5.849633,-0.326204
1.581798,-1.523627,0.082343,5.74073,-0.321539
1.570185,-1.512504,0.081627,5.613998,-0.316456
1.556791,-1.499581,0.080949,5.469439,-0.310926
1.541614,-1.484858,0.080314,5.307055,-0.30491
1.524654,-1.468334,0.079729,5.126851,-0.298363
1.505913,-1.450008,0.079198,4.929816,-0.291606
1.485744,-1.430227,0.078859,4.730725,-0.289481
1.466233,-1.411033,0.079505,4.541195,-0.29173
1.447736,-1.392777,0.081276,4.361613,-0.297451
1.430263,-1.375462,0.084178,4.192045,-0.306397
1.413822,-1.359092,0.088219,4.03258,-0.318348
1.398427,-1.343671,0.093406,3.883329,-0.333108
1.384094,-1.329202,0.099745,3.744422,-0.350515
1.370841,-1.31569,0.107244,3.616012,-0.370445
1.358691,-1.303138,0.115909,3.498277,-0.392811
1.347666,-1.29155,0.125748,3.391413,-0.417577
1.337795,-1.28062,0.136616,3.295638,-0.444754
1.329108,-1.270631,0.148599,3.211185,-0.47441
1.321636,-1.261584,0.161702,3.138304,-0.506671
1.315414,-1.253483,0.175925,3.077254,-0.541729
1.31048,-1.246328,0.191273,3.0283,-0.579839
1.306871,-1.240121,0.207749,2.991705,-0.621325
1.304627,-1.234865,0.225359,2.967729,-0.666579
1.303789,-1.230564,0.244108,2.956617,-0.716061
1.304398,-1.227222,0.264005,2.954642,-0.763047
1.305156,-1.223879,0.283287,2.943585,-0.790343
1.30407,-1.219145,0.299406,2.915326,-0.806633
1.301012,-1.213004,0.312332,2.869137,-0.811412
1.295891,-1.205457,0.322065,2.804447,-0.804171
1.288635,-1.196503,0.328606,2.720777,-0.784601
1.279192,-1.186143,0.331953,2.617727,-0.752608
1.267524,-1.174377,0.332107,2.494963,-0.708328
1.25361,-1.161203,0.329069,2.352213,-0.652148
1.237448,-1.146624,0.322837,2.189264,-0.58473
1.219052,-1.130637,0.313413,2.005973,-0.507044
1.198457,-1.113244,0.300796,1.802277,-0.420402
1.175719,-1.094445,0.284986,1.578222,-0.326507
1.150921,-1.074239,0.265983,1.334005,-0.227507
1.124171,-1.052626,0.243787,1.070032,-0.126061
1.095616,-1.029607,0.218399,0.787005,-0.025408
1.065441,-1.046957,0.197597,0,0
1.821587,-1.715275,-0.470234,7.013254,1.319637
1.643009,-1.561482,-0.345861,5.44615,0.610289
1.485237,-1.421887,-0.230618,4.037539,0.070567
1.34867,-1.296522,-0.124523,2.799837,-0.298675
1.233523,-1.185417,-0.02759,1.747326,-0.504908
1.139682,-1.088603,0.060166,0.893189,-0.567058
1.066547,-1.006112,0.138725,0.244848,-0.516561
1.012932,-0.937975,0.208071,-0.200842,-0.394511
0.977082,-0.884224,0.268185,-0.459801,-0.244726
0.956854,-0.84489,0.319049,-0.558301,-0.105333
0.950015,-0.820005,0.360643,-0.526557,-0.002733
0.954572,-0.809601,0.39295,-0.391384,0.049862
0.969035,-0.813708,0.415951,-0.170911,0.050148
0.992572,-0.832359,0.429627,0.12754,0.003167
1.025039,-0.865586,0.433961,0.50696,-0.081509
1.066921,-0.913419,0.428933,0.978585,-0.191137
1.119195,-0.97589,0.414526,1.55205,-0.31359
1.181267,-1.050573,0.391956,2.147354,-0.466995
1.242628,-1.123001,0.368492,2.724919,-0.589022
