n_displ_x,n_displ_y,n_diff_int_vel_x,n_diff_int_vel_y,n_diff_vel_x,n_diff_vel_y,speed,diff_int_v_x,diff_int_v_y,acc_x,acc_y
2.60772,-1.069741,-0.006437,0.012569,-2.405595,0.20795,0.946863,0.953778,-0.201896,0.454733,-0.050982
2.684697,-1.509113,-0.001545,0.012044,-2.310386,0.251803,0.952963,0.961611,-0.213711,0.708222,-0.034546
-0.417407,3.025921,-0.023878,-0.001776,-2.250438,-0.083268,0.908866,0.91697,-0.2269,1.444896,-0.154113
-0.413489,2.586644,-0.020237,-0.002005,-2.174516,-0.083796,0.815894,0.819748,-0.241471,2.630581,-0.476239
-0.468056,2.158032,-0.016856,-0.002297,-2.046194,-0.079591,0.677476,0.669839,-0.25743,4.157188,-1.17266
-0.641866,1.715816,-0.013842,-0.002663,-1.865472,-0.070653,0.504241,0.467137,-0.274783,5.547168,-2.688522
-1.013302,1.107132,-0.011292,-0.003112,-1.648759,-0.057974,0.348163,0.227953,-0.292545,4.668607,-5.547905
-1.190126,0.254803,-0.009234,-0.003652,-1.443062,-0.044394,0.320568,-0.000737,-0.307876,0.124474,-6.616866
-0.960523,-0.193401,-0.007669,-0.004285,-1.251487,-0.030102,0.426069,-0.215826,-0.320589,-2.445976,-4.35423
-0.749666,-0.244883,-0.006596,-0.005016,-1.073746,-0.015528,0.582172,-0.417316,-0.330684,-2.268398,-2.375012
-0.620422,-0.172902,-0.005991,-0.005837,-0.90814,-0.003212,0.746712,-0.605181,-0.338153,-1.194013,-1.139151
-0.540725,-0.074417,-0.005775,-0.006721,-0.754383,0.006414,0.906304,-0.779339,-0.342969,0.105264,-0.350649
-0.489588,0.020331,-0.005863,-0.007639,-0.612475,0.013351,1.05617,-0.939701,-0.345104,1.416469,0.175994
-0.456049,0.101149,-0.006167,-0.00856,-0.482416,0.017598,1.194273,-1.086177,-0.344531,2.660643,0.537046
-0.434224,0.164777,-0.006602,-0.009456,-0.364205,0.019156,1.319624,-1.218679,-0.34122,3.80369,0.784534
-0.420782,0.210748,-0.007082,-0.010295,-0.257842,0.018024,1.431691,-1.337117,-0.335143,4.829004,0.948515
-0.413748,0.239855,-0.007519,-0.011049,-0.163329,0.014203,1.53017,-1.441401,-0.326273,5.727714,1.047511
-0.411912,0.253519,-0.007829,-0.011687,-0.080663,0.007692,1.614879,-1.531443,-0.31458,6.494722,1.093643
-0.414526,0.253491,-0.007924,-0.01218,-0.009847,-0.001508,1.68571,-1.607153,-0.300037,7.126929,1.095307
-0.421132,0.241701,-0.007721,-0.012502,0.049121,-0.013397,1.742599,-1.668441,-0.282614,7.622369,1.058667
-0.431471,0.220175,-0.007137,-0.012629,0.09624,-0.027976,1.785516,-1.715219,-0.262284,7.979762,0.988539
-0.445423,0.19098,-0.00609,-0.012537,0.131511,-0.045245,1.814453,-1.7474,-0.239019,8.198268,0.888948
-0.462979,0.156189,-0.004608,-0.012232,0.154933,-0.065203,1.829427,-1.765002,-0.212821,8.277354,0.763522
-0.484222,0.117849,-0.002851,-0.011758,0.166507,-0.087851,1.830474,-1.768182,-0.183728,8.216733,0.615783
-0.509324,0.077948,-0.000992,-0.011161,0.166232,-0.113188,1.817651,-1.757104,-0.151783,8.016335,0.449417
-0.538543,0.03838,0.000799,-0.010488,0.154108,-0.141214,1.791046,-1.731933,-0.117028,7.676332,0.268549
-0.572242,0.000891,0.00235,-0.009785,0.130136,-0.17193,1.750779,-1.692835,-0.079505,7.197205,0.078066
-0.610899,-0.032996,0.00349,-0.009098,0.094315,-0.205336,1.697018,-1.639973,-0.039255,6.579874,-0.115956
-0.655142,-0.062083,0.004131,-0.008457,0.046556,-0.24139,1.629998,-1.57343,0.003696,5.825958,-0.305651
-0.705724,-0.085524,0.004367,-0.007854,-0.014493,-0.279471,1.550056,-1.493106,0.049357,4.938228,-0.480476
-0.763585,-0.103053,0.004319,-0.007276,-0.089305,-0.319362,1.457677,-1.398873,0.097744,3.92147,-0.625851
-0.83003,-0.115678,0.00411,-0.00671,-0.17788,-0.361063,1.353592,-1.290607,0.148873,2.784145,-0.721036
-0.906805,-0.126582,0.003861,-0.006141,-0.280218,-0.404575,1.238932,-1.168181,0.202756,1.541722,-0.735809
-0.995999,-0.142777,0.00369,-0.005557,-0.396318,-0.449896,1.115532,-1.031471,0.259411,0.224419,-0.625243
